location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
8.0,10.8105831,106.70914219999997,2.0,2.0,104.0,4250.0
8.0,10.8105831,106.70914219999997,3.0,2.0,93.0,3000.0
8.0,10.803030014038086,106.71403503417969,3.0,2.0,80.0,2000.0
8.0,10.7891979,106.708443,2.0,2.0,67.0,2000.0
8.0,10.7443766,106.69812430000002,3.0,4.0,180.6,9100.0
8.0,10.79449,106.7226,3.0,3.0,180.0,9600.0
8.0,10.8105831,106.70914219999997,2.0,2.0,106.0,2067.0
8.0,10.821709071872982,106.70123580190432,2.0,1.0,63.0,1080.0
8.0,10.821709071872982,106.7013216325928,2.0,1.0,63.0,1080.0
8.0,10.8153705596924,106.70691680908203,2.0,2.0,82.0,2200.0
8.0,10.8153073301307,106.70701336860702,2.0,2.0,81.0,2200.0
8.0,10.81546540401,106.70692753791798,2.0,2.0,86.0,2000.0
8.0,10.8153706,106.706917,2.0,2.0,82.0,2100.0
8.0,10.8152967918691,106.70691680908203,2.0,2.0,87.0,2200.0
8.0,10.795001502343721,106.72247862815857,1.0,1.0,50.0,2500.0
8.0,10.8170723,106.58879760000002,2.0,2.0,105.0,2205.0
8.0,10.8170723,106.58879760000002,2.0,2.0,106.0,2226.0
8.0,10.8170723,106.58879760000002,2.0,2.0,106.0,2226.0
8.0,10.81539163621,106.706991910934,3.0,2.0,132.0,2904.0
8.0,10.807333657490767,106.71457362174988,3.0,2.0,110.6,2864.5
8.0,10.8121881,106.711838,3.0,2.0,113.0,2900.0
8.0,10.803082707496209,106.7141208648685,2.0,2.0,75.0,2250.0
8.0,10.8171042,106.58872489999999,2.0,2.0,73.0,2117.0
8.0,10.803030014038114,106.71390628814731,2.0,2.0,75.0,2025.0
8.0,10.807548017572,106.71446370268598,2.0,2.0,85.0,2300.0
8.0,10.81219,106.7118,3.0,2.0,114.0,2550.0
8.0,10.81219,106.7118,2.0,2.0,85.0,2200.0
8.0,10.803037918057415,106.71401625871692,3.0,2.0,88.0,2300.0
8.0,10.8030563607683,106.71400821209,3.0,2.0,60.6,2500.0
8.0,10.8154232509837,106.70687389373802,2.0,2.0,83.0,2200.0
8.0,10.81589,106.72000000000003,3.0,2.0,98.0,2700.0
8.0,10.7930466447151,106.71978520537095,2.0,2.0,67.0,2546.0
8.0,10.8136649,106.69382870000004,2.0,2.0,93.0,2500.0
8.0,10.807012183897388,106.68738589203076,3.0,2.0,125.0,3100.0
8.0,10.8136649,106.69382870000004,2.0,2.0,93.0,2500.0
8.0,10.8030300140381,106.71403503418003,2.0,2.0,81.0,2025.0
8.0,10.804041726818,106.71437835693405,3.0,2.0,89.1,2300.0
8.0,10.803040552730444,106.71397066116333,2.0,2.0,70.9,2370.0
8.0,10.8171042,106.58872489999999,3.0,2.0,88.0,2300.0
8.0,10.8113273,106.69678780000004,2.0,1.0,62.0,850.0
8.0,10.8105831,106.70914219999997,1.0,1.0,40.0,980.0
8.0,10.8113273,106.69678780000004,2.0,1.0,62.0,850.0
8.0,10.802636343975683,106.71568023306577,3.0,2.0,75.0,2300.0
8.0,10.803008936652274,106.71397066116367,2.0,2.0,70.9,2080.0
8.0,10.847189,106.72354159999998,3.0,2.0,79.0,2200.0
8.0,10.7983541,106.713516,3.0,2.0,104.0,2500.0
8.0,10.800777122457522,106.71527587221374,2.0,2.0,73.0,990.0
8.0,10.8105831,106.70914219999997,2.0,2.0,70.0,900.0
8.0,10.794485092163086,106.72261810302734,1.0,1.0,50.0,2000.0
20.0,21.027835,105.852276,2.0,2.0,68.0,900.0
8.0,10.815892219543457,106.72001647949219,3.0,2.0,106.0,2438.0
8.0,10.79449,106.7226,1.0,1.0,56.8,2442.4
8.0,10.794416588705134,106.72270929813351,1.0,1.0,53.0,2100.0
8.0,10.8001451,106.7017,1.0,1.0,40.5,980.0
20.0,10.865338658848,106.72441005706798,2.0,2.0,64.0,985.0
8.0,10.8171042,106.58872489999999,2.0,1.0,62.0,850.0
8.0,10.8160501470618,106.72053687301604,3.0,2.0,98.0,2312.8
8.0,10.833659025702893,106.70438469814758,2.0,2.0,76.0,1600.0
8.0,10.833701176164084,106.70391262936096,2.0,2.0,71.0,1500.0
8.0,10.7892,106.7084,2.0,2.0,70.0,2000.0
